,abstract_id,sentence_index,synonym_tokens,original_tokens,attack_successful,num_changed,divergence,token_index,num_queries,changed_sentences,num_entities_changed,synonym_prob,semantic_sim,attack_type,type,num_changes_in_pred,comp_mode
51,12586182,15,oht - ocular hypertension,ocular hypertension,False,4,7.842590093787294e-06,49,4,,,,,,DISEASE,0.0,value_change
52,12586182,16,,,False,,,,,,,,,,,,
53,12867391,0,,,False,,,,,,,,,,,,
54,12867391,1,,,False,,,,,,,,,,,,
55,12867391,2,latanoprost product,latanoprost,,1,,13,1,,,,,,CHEMICAL,,value_change
56,12867391,2,timolol product,timolol,,2,,26,2,,,,,,CHEMICAL,,value_change
57,12867391,2,product containing dorzolamide,dorzolamide,False,3,0.00017561041750013828,31,3,,,,,,CHEMICAL,0.0,value_change
58,12867391,3,,,False,,,,,,,,,,,,
59,12867391,4,,,False,,,,,,,,,,,,
60,12867391,5,latanoprost product,latanoprost,,1,,11,1,,,,,,CHEMICAL,,value_change
61,12867391,5,timolol product,timolol,,2,,26,2,,,,,,CHEMICAL,,value_change
62,12867391,5,product containing dorzolamide,dorzolamide,True,3,0.050192028284072876,35,3,,,,,,CHEMICAL,4.0,value_change
63,12867391,6,,,False,,,,,,,,,,,,
64,12867391,7,,,False,,,,,,,,,,,,
65,12867391,8,oht - ocular hypertension,ocular hypertension,False,1,0.0003025916521437466,16,1,,,,,,DISEASE,0,value_change
66,12867391,9,latanoprost product,latanoprost,False,1,9.292587492382154e-05,2,1,,,,,,CHEMICAL,0,value_change
67,12867391,10,,,False,,,,,,,,,,,,
68,12867391,11,,,False,,,,,,,,,,,,
69,12867391,12,latanoprost product,latanoprost,False,1,0.000139353156555444,17,1,,,,,,CHEMICAL,0,value_change
70,12867391,13,latanoprost product,latanoprost,False,1,0.00017769564874470234,45,1,,,,,,CHEMICAL,0,value_change
71,12867391,14,latanoprost product,latanoprost,False,1,2.544686503824778e-05,4,1,,,,,,CHEMICAL,0,value_change
72,12867391,15,latanoprost product,latanoprost,False,1,1.2629260709218215e-05,27,1,,,,,,CHEMICAL,0,value_change
73,12867391,16,,,False,,,,,,,,,,,,
74,12867391,17,latanoprost product,latanoprost,False,1,7.46908481232822e-05,35,1,,,,,,CHEMICAL,0,value_change
75,12867391,18,,,False,,,,,,,,,,,,
76,21499770,0,,,False,,,,,,,,,,,,
77,21499770,1,,,False,,,,,,,,,,,,
78,21499770,3,timolol product,timolol,,1,,0,1,,,,,,CHEMICAL,,value_change
79,21499770,3,product containing brinzolamide,brinzolamide,,2,,5,2,,,,,,CHEMICAL,,value_change
80,21499770,3,travoprost product,travoprost,,3,,14,3,,,,,,CHEMICAL,,value_change
81,21499770,3,unspecified glaucoma,glaucoma,,4,,21,4,,,,,,DISEASE,,value_change
82,21499770,3,oht - ocular hypertension,ocular hypertension,False,5,0.02088722586631775,27,5,,,,,,DISEASE,0.0,value_change
83,21499770,4,,,False,,,,,,,,,,,,
84,21499770,6,,,False,,,,,,,,,,,,
85,21499770,7,timolol product,timolol,,1,,27,1,,,,,,CHEMICAL,,value_change
86,21499770,7,product containing brinzolamide,brinzolamide,,2,,36,2,,,,,,CHEMICAL,,value_change
87,21499770,7,travoprost product,travoprost,,3,,50,3,,,,,,CHEMICAL,,value_change
88,21499770,7,oht - ocular hypertension,ocular hypertension,False,4,0.0007318959105759859,70,4,,,,,,DISEASE,0.0,value_change
89,21499770,8,travoprost product,travoprost,False,1,5.3606574510922655e-05,37,1,,,,,,CHEMICAL,0,value_change
90,21499770,9,travoprost product,travoprost,,1,,6,1,,,,,,CHEMICAL,,value_change
91,21499770,9,travoprost product,travoprost,,2,,33,2,,,,,,CHEMICAL,,value_change
92,21499770,9,product containing brinzolamide,brinzolamide,,3,,40,3,,,,,,CHEMICAL,,value_change
93,21499770,9,travoprost product,travoprost,,4,,48,4,,,,,,CHEMICAL,,value_change
94,21499770,9,timolol product,timolol,False,5,0.0002843441616278142,55,5,,,,,,CHEMICAL,0.0,value_change
95,21499770,10,,,False,,,,,,,,,,,,
96,21499770,11,travoprost product,travoprost,False,1,2.5582732632756233e-05,2,1,,,,,,CHEMICAL,0,value_change
97,21499770,12,product containing brinzolamide,brinzolamide,,1,,57,1,,,,,,CHEMICAL,,value_change
98,21499770,12,timolol product,timolol,False,2,0.0018334509804844856,77,2,,,,,,CHEMICAL,0.0,value_change
99,21499770,14,timolol product,timolol,,1,,38,1,,,,,,CHEMICAL,,value_change
100,21499770,14,product containing brinzolamide,brinzolamide,False,2,0.00016741927538532764,43,2,,,,,,CHEMICAL,0.0,value_change
101,21499770,15,,,False,,,,,,,,,,,,
102,21499770,16,hyperaemia,hyperemia,False,1,1.0600321729725692e-05,0,1,,,,,,DISEASE,0,value_change
103,21499770,17,travoprost product,travoprost,,1,,16,1,,,,,,CHEMICAL,,value_change
104,21499770,17,timolol product,timolol,False,2,6.130923429736868e-05,26,2,,,,,,CHEMICAL,0.0,value_change
105,21499770,18,product containing brinzolamide,brinzolamide,,1,,4,1,,,,,,CHEMICAL,,value_change
106,21499770,18,travoprost product,travoprost,,2,,12,2,,,,,,CHEMICAL,,value_change
107,21499770,18,timolol product,timolol,,3,,32,3,,,,,,CHEMICAL,,value_change
108,21499770,18,travoprost product,travoprost,False,4,4.059279672219418e-05,37,4,,,,,,CHEMICAL,0.0,value_change
109,21499770,19,,,False,,,,,,,,,,,,
110,19123151,0,,,False,,,,,,,,,,,,
111,19123151,1,,,False,,,,,,,,,,,,
112,19123151,2,bimatoprost product,bimatoprost,,1,,6,1,,,,,,CHEMICAL,,value_change
113,19123151,2,latanoprost product,latanoprost,,2,,13,2,,,,,,CHEMICAL,,value_change
114,19123151,2,timolol product,timolol,,3,,20,3,,,,,,CHEMICAL,,value_change
115,19123151,2,pg - prostaglandin,prostaglandin,False,4,0.0007078456692397594,31,4,,,,,,CHEMICAL,0.0,value_change
116,19123151,3,,,False,,,,,,,,,,,,
117,19123151,4,,,False,,,,,,,,,,,,
118,19123151,6,,,False,,,,,,,,,,,,
119,19123151,7,bimatoprost product,bimatoprost,,1,,18,1,,,,,,CHEMICAL,,value_change
120,19123151,7,timolol product,timolol,,2,,25,2,,,,,,CHEMICAL,,value_change
121,19123151,7,latanoprost product,latanoprost,,3,,45,3,,,,,,CHEMICAL,,value_change
122,19123151,7,timolol product,timolol,False,4,5.72931494389195e-05,52,4,,,,,,CHEMICAL,0.0,value_change
123,19123151,8,prostaglandin analogs,prostaglandin,False,1,8.774716064863242e-09,8,1,,,,,,CHEMICAL,0,value_change
124,19123151,9,,,False,,,,,,,,,,,,
125,19123151,10,,,False,,,,,,,,,,,,
126,19123151,11,,,False,,,,,,,,,,,,
127,19123151,12,,,False,,,,,,,,,,,,
128,19123151,13,,,False,,,,,,,,,,,,
129,19123151,14,,,False,,,,,,,,,,,,
130,19123151,15,prostaglandin analogs,prostaglandin,False,1,4.1156636143568903e-07,16,1,,,,,,CHEMICAL,0,value_change
131,19123151,16,,,False,,,,,,,,,,,,
132,19123151,17,,,False,,,,,,,,,,,,
133,19860553,0,,,False,,,,,,,,,,,,
134,19860553,1,,,False,,,,,,,,,,,,
135,19860553,2,bimatoprost product,bimatoprost,,1,,3,1,,,,,,CHEMICAL,,value_change
136,19860553,2,latanoprost product,latanoprost,,2,,19,2,,,,,,CHEMICAL,,value_change
137,19860553,2,timolol product,timolol,False,3,0.010554648004472256,31,3,,,,,,CHEMICAL,0.0,value_change
138,19860553,3,,,False,,,,,,,,,,,,
139,19860553,4,bimatoprost product,bimatoprost,,1,,4,1,,,,,,CHEMICAL,,value_change
140,19860553,4,latanoprost product,latanoprost,,2,,15,2,,,,,,CHEMICAL,,value_change
141,19860553,4,maleate timolol,timolol maleate,,3,,22,3,,,,,,CHEMICAL,,value_change
142,19860553,4,unspecified glaucoma,glaucoma,,4,,34,4,,,,,,DISEASE,,value_change
143,19860553,4,oht - ocular hypertension,ocular hypertension,False,5,0.00037180332583375275,40,5,,,,,,DISEASE,0.0,value_change
144,19860553,5,prim open angle glaucoma,glaucoma,False,1,3.4687098377617076e-05,35,1,,,,,,DISEASE,0,value_change
145,19860553,6,bimatoprost product,bimatoprost,,1,,25,1,,,,,,CHEMICAL,,value_change
146,19860553,6,latanoprost product,latanoprost,,2,,38,2,,,,,,CHEMICAL,,value_change
147,19860553,6,timolol product,timolol,False,3,0.00016115796461235732,45,3,,,,,,CHEMICAL,0.0,value_change
148,19860553,7,,,False,,,,,,,,,,,,
149,19860553,8,latanoprost product,latanoprost,,1,,8,1,,,,,,CHEMICAL,,value_change
150,19860553,8,timolol product,timolol,,2,,15,2,,,,,,CHEMICAL,,value_change
151,19860553,8,bimatoprost product,bimatoprost,False,3,0.0008844637195579708,35,3,,,,,,CHEMICAL,0.0,value_change
152,19860553,9,latanoprost product,latanoprost,,1,,14,1,,,,,,CHEMICAL,,value_change
153,19860553,9,timolol product,timolol,False,2,5.5889908253448084e-05,21,2,,,,,,CHEMICAL,0.0,value_change
154,19860553,10,latanoprost product,latanoprost,,1,,37,1,,,,,,CHEMICAL,,value_change
155,19860553,10,timolol product,timolol,False,2,3.873871173709631e-05,44,2,,,,,,CHEMICAL,0.0,value_change
156,19860553,11,,,False,,,,,,,,,,,,
157,19860553,12,latanoprost product,latanoprost,,1,,6,1,,,,,,CHEMICAL,,value_change
158,19860553,12,timolol product,timolol,,2,,13,2,,,,,,CHEMICAL,,value_change
159,19860553,12,bimatoprost product,bimatoprost,False,3,0.00016186742868740112,21,3,,,,,,CHEMICAL,0.0,value_change
160,19860553,13,latanoprost product,latanoprost,,1,,15,1,,,,,,CHEMICAL,,value_change
161,19860553,13,timolol product,timolol,False,2,1.512972289674508e-06,22,2,,,,,,CHEMICAL,0.0,value_change
162,19860553,14,,,False,,,,,,,,,,,,
163,10837379,0,,,False,,,,,,,,,,,,
164,10837379,1,,,False,,,,,,,,,,,,
165,10837379,2,latanoprost product,latanoprost,,1,,3,1,,,,,,CHEMICAL,,value_change
166,10837379,2,product containing dorzolamide,dorzolamide,,2,,10,2,,,,,,CHEMICAL,,value_change
167,10837379,2,unspecified glaucoma,glaucoma,,3,,19,3,,,,,,DISEASE,,value_change
168,10837379,2,oht - ocular hypertension,ocular hypertension,True,4,0.0024796160869300365,25,4,,,,,,DISEASE,3.0,value_change
169,10837379,3,latanoprost product,latanoprost,False,1,0.00014774083683732897,1,1,,,,,,CHEMICAL,0,value_change
170,10837379,4,,,False,,,,,,,,,,,,
171,10837379,5,,,False,,,,,,,,,,,,
172,10837379,6,latanoprost product,latanoprost,,1,,30,1,,,,,,CHEMICAL,,value_change
173,10837379,6,product containing dorzolamide,dorzolamide,,2,,37,2,,,,,,CHEMICAL,,value_change
174,10837379,6,unspecified glaucoma,glaucoma,,3,,46,3,,,,,,DISEASE,,value_change
175,10837379,6,oht - ocular hypertension,ocular hypertension,True,4,0.002302082721143961,52,4,,,,,,DISEASE,3.0,value_change
176,10837379,7,open cleft glaucoma,glaucoma,,1,,7,1,,,,,,DISEASE,,value_change
177,10837379,7,oht - ocular hypertension,ocular hypertension,True,2,0.0025259621907025576,13,2,,,,,,DISEASE,2.0,value_change
178,10837379,8,unspecified glaucoma,glaucoma,,1,,1,1,,,,,,DISEASE,,value_change
179,10837379,8,latanoprost product,latanoprost,,2,,19,2,,,,,,CHEMICAL,,value_change
180,10837379,8,product containing dorzolamide,dorzolamide,True,3,0.002532787388190627,33,3,,,,,,CHEMICAL,3.0,value_change
181,10837379,9,,,False,,,,,,,,,,,,
182,10837379,10,latanoprost product,latanoprost,False,1,0.00011241998436162248,4,1,,,,,,CHEMICAL,0,value_change
183,10837379,11,product containing dorzolamide,dorzolamide,False,1,0.00012406843598000705,4,1,,,,,,CHEMICAL,0,value_change
184,10837379,12,,,False,,,,,,,,,,,,
185,10837379,16,latanoprost product,latanoprost,,1,,2,1,,,,,,CHEMICAL,,value_change
186,10837379,16,product containing dorzolamide,dorzolamide,False,2,5.483739005285315e-05,11,2,,,,,,CHEMICAL,0.0,value_change
187,10837379,17,,,False,,,,,,,,,,,,
188,10837379,13,latanoprost product,latanoprost,,1,,0,1,,,,,,CHEMICAL,,value_change
189,10837379,13,product containing dorzolamide,dorzolamide,False,2,0.0004709029453806579,35,2,,,,,,CHEMICAL,0.0,value_change
190,10837379,14,latanoprost product,latanoprost,,1,,17,1,,,,,,CHEMICAL,,value_change
191,10837379,14,product containing dorzolamide,dorzolamide,False,2,0.000755540793761611,35,2,,,,,,CHEMICAL,0.0,value_change
192,15097262,0,,,False,,,,,,,,,,,,
193,15097262,1,,,False,,,,,,,,,,,,
194,15097262,2,product containing dorzolamide,dorzolamide,,1,,0,1,,,,,,CHEMICAL,,value_change
195,15097262,2,timolol product,timolol,,2,,7,2,,,,,,CHEMICAL,,value_change
196,15097262,2,brimonidine product,brimonidine,,3,,20,3,,,,,,CHEMICAL,,value_change
197,15097262,2,timolol product,timolol,True,4,0.5642486810684204,26,4,,,,,,CHEMICAL,2.0,value_change
198,15097262,3,,,False,,,,,,,,,,,,
199,15097262,4,product containing dorzolamide,dorzolamide,,1,,27,1,,,,,,CHEMICAL,,value_change
200,15097262,4,timolol product,timolol,,2,,34,2,,,,,,CHEMICAL,,value_change
201,15097262,4,brimonidine product,brimonidine,,3,,48,3,,,,,,CHEMICAL,,value_change
202,15097262,4,timolol product,timolol,False,4,0.004421112593263388,54,4,,,,,,CHEMICAL,0.0,value_change
203,15097262,5,oht - ocular hypertension,ocular hypertension,,1,,9,1,,,,,,DISEASE,,value_change
204,15097262,5,glaucoma pigmentary,pigmentary glaucoma,False,2,0.0006478452705778182,35,2,,,,,,DISEASE,0.0,value_change
205,15097262,6,timolol product,timolol,,1,,4,1,,,,,,CHEMICAL,,value_change
206,15097262,6,product containing dorzolamide,dorzolamide,,2,,33,2,,,,,,CHEMICAL,,value_change
207,15097262,6,timolol product,timolol,,3,,40,3,,,,,,CHEMICAL,,value_change
208,15097262,6,brimonidine product,brimonidine,,4,,51,4,,,,,,CHEMICAL,,value_change
209,15097262,6,timolol product,timolol,True,5,1.1364907026290894,57,5,,,,,,CHEMICAL,4.0,value_change
210,15097262,7,,,False,,,,,,,,,,,,
211,15097262,8,product containing dorzolamide,dorzolamide,,1,,8,1,,,,,,CHEMICAL,,value_change
212,15097262,8,timolol product,timolol,,2,,15,2,,,,,,CHEMICAL,,value_change
213,15097262,8,brimonidine product,brimonidine,,3,,60,3,,,,,,CHEMICAL,,value_change
214,15097262,8,timolol product,timolol,False,4,7.301033474504948e-05,68,4,,,,,,CHEMICAL,0.0,value_change
215,15097262,9,,,False,,,,,,,,,,,,
216,15097262,10,,,False,,,,,,,,,,,,
217,15097262,11,,,False,,,,,,,,,,,,
218,15097262,12,product containing dorzolamide,dorzolamide,,1,,10,1,,,,,,CHEMICAL,,value_change
219,15097262,12,timolol product,timolol,,2,,17,2,,,,,,CHEMICAL,,value_change
220,15097262,12,brimonidine product,brimonidine,,3,,28,3,,,,,,CHEMICAL,,value_change
221,15097262,12,timolol product,timolol,False,4,1.9004626665264368e-05,34,4,,,,,,CHEMICAL,0.0,value_change
222,15097262,13,,,False,,,,,,,,,,,,
223,15097262,14,,,False,,,,,,,,,,,,
224,17519068,0,,,False,,,,,,,,,,,,
225,17519068,1,,,False,,,,,,,,,,,,
226,17519068,2,bimatoprost product,bimatoprost,,1,,12,1,,,,,,CHEMICAL,,value_change
227,17519068,2,timolol product,timolol,,2,,19,2,,,,,,CHEMICAL,,value_change
228,17519068,2,latanoprost product,latanoprost,,3,,26,3,,,,,,CHEMICAL,,value_change
229,17519068,2,timolol product,timolol,False,4,0.00046499253949150443,33,4,,,,,,CHEMICAL,0.0,value_change
230,17519068,3,,,False,,,,,,,,,,,,
231,17519068,4,latanoprost product,latanoprost,,1,,28,1,,,,,,CHEMICAL,,value_change
232,17519068,4,timolol product,timolol,,2,,35,2,,,,,,CHEMICAL,,value_change
233,17519068,4,bimatoprost product,bimatoprost,,3,,56,3,,,,,,CHEMICAL,,value_change
234,17519068,4,timolol product,timolol,False,4,0.0005232219700701535,63,4,,,,,,CHEMICAL,0.0,value_change
235,17519068,5,,,False,,,,,,,,,,,,
236,17519068,6,,,False,,,,,,,,,,,,
237,17519068,7,,,False,,,,,,,,,,,,
238,17519068,8,,,False,,,,,,,,,,,,
239,17519068,9,,,False,,,,,,,,,,,,
240,17519068,10,hyperaemia,hyperemia,False,1,4.2055016820086166e-05,7,1,,,,,,DISEASE,0,value_change
241,17519068,11,,,False,,,,,,,,,,,,
242,17519068,12,,,False,,,,,,,,,,,,
243,25430900,0,,,False,,,,,,,,,,,,
244,25430900,1,,,False,,,,,,,,,,,,
245,25430900,3,product containing brinzolamide,brinzolamide,,1,,4,1,,,,,,CHEMICAL,,value_change
246,25430900,3,brimonidine product,brimonidine,,2,,12,2,,,,,,CHEMICAL,,value_change
247,25430900,3,product containing brinzolamide,brinzolamide,,3,,18,3,,,,,,CHEMICAL,,value_change
248,25430900,3,brimonidine product,brimonidine,,4,,26,4,,,,,,CHEMICAL,,value_change
249,25430900,3,oht - ocular hypertension,ocular hypertension,False,5,0.014985638670623302,40,5,,,,,,DISEASE,0.0,value_change
250,25430900,4,,,False,,,,,,,,,,,,
251,25430900,5,,,False,,,,,,,,,,,,
252,25430900,6,,,False,,,,,,,,,,,,
253,25430900,7,product containing brinzolamide,brinzolamide,,1,,16,1,,,,,,CHEMICAL,,value_change
254,25430900,7,brimonidine product,brimonidine,,2,,26,2,,,,,,CHEMICAL,,value_change
255,25430900,7,product containing brinzolamide,brinzolamide,,3,,46,3,,,,,,CHEMICAL,,value_change
256,25430900,7,brimonidine product,brimonidine,,4,,56,4,,,,,,CHEMICAL,,value_change
257,25430900,7,oht - ocular hypertension,ocular hypertension,False,5,0.02422487735748291,84,5,,,,,,DISEASE,0.0,value_change
258,25430900,8,,,False,,,,,,,,,,,,
259,25430900,9,,,False,,,,,,,,,,,,
260,25430900,10,,,False,,,,,,,,,,,,
261,25430900,11,,,False,,,,,,,,,,,,
262,25430900,12,,,False,,,,,,,,,,,,
263,25430900,14,,,False,,,,,,,,,,,,
264,25430900,15,,,False,,,,,,,,,,,,
265,25430900,16,,,False,,,,,,,,,,,,
266,25430900,18,hyperaemia,hyperemia,,1,,9,1,,,,,,DISEASE,,value_change
267,25430900,18,disturbances visual,visual disturbances,False,2,0.00020472340111155063,30,2,,,,,,DISEASE,0.0,value_change
268,25430900,19,,,False,,,,,,,,,,,,
269,25430900,20,product containing brinzolamide,brinzolamide,,1,,2,1,,,,,,CHEMICAL,,value_change
270,25430900,20,brimonidine product,brimonidine,False,2,2.202698124165181e-05,12,2,,,,,,CHEMICAL,0.0,value_change
271,25430900,21,,,False,,,,,,,,,,,,
272,25430900,22,,,False,,,,,,,,,,,,
273,24672097,0,,,False,,,,,,,,,,,,
274,24672097,1,,,False,,,,,,,,,,,,
275,24672097,2,bimatoprost product,bimatoprost,,1,,5,1,,,,,,CHEMICAL,,value_change
276,24672097,2,timolol product,timolol,False,2,0.0,12,2,,,,,,CHEMICAL,0.0,value_change
277,24672097,3,,,False,,,,,,,,,,,,
278,24672097,4,,,False,,,,,,,,,,,,
279,24672097,5,,,False,,,,,,,,,,,,
280,24672097,7,,,False,,,,,,,,,,,,
281,24672097,8,bimatoprost product,bimatoprost,,1,,0,1,,,,,,CHEMICAL,,value_change
282,24672097,8,maleate timolol,timolol maleate,False,2,0.0,42,2,,,,,,CHEMICAL,0.0,value_change
283,24672097,9,bimatoprost product,bimatoprost,,1,,13,1,,,,,,CHEMICAL,,value_change
284,24672097,9,timolol product,timolol,False,2,0.0,20,2,,,,,,CHEMICAL,0.0,value_change
285,24672097,10,unspecified glaucoma,glaucoma,False,1,0.00011659555457299575,24,1,,,,,,DISEASE,0,value_change
286,24672097,11,timolol product,timolol,False,1,0.00022760448337066919,21,1,,,,,,CHEMICAL,0,value_change
287,24672097,12,timolol product,timolol,False,1,0.0007280224817804992,6,1,,,,,,CHEMICAL,0,value_change
288,24672097,13,bimatoprost product,bimatoprost,False,1,0.0009730072342790663,11,1,,,,,,CHEMICAL,0,value_change
289,24672097,14,,,False,,,,,,,,,,,,
290,24672097,15,timolol product,timolol,False,1,0.00011369046842446551,14,1,,,,,,CHEMICAL,0,value_change
291,24672097,16,stinging sensation,stinging,False,1,8.165778854163364e-05,28,1,,,,,,DISEASE,0,value_change
292,24672097,17,,,False,,,,,,,,,,,,
293,24672097,18,timolol product,timolol,False,1,0.00018747326976154,9,1,,,,,,CHEMICAL,0,value_change
294,24672097,19,bimatoprost product,bimatoprost,False,1,0.00027917089755646884,2,1,,,,,,CHEMICAL,0,value_change
295,24672097,20,conjunctival hyperaemia,conjunctival hyperemia,,1,,9,1,,,,,,DISEASE,,value_change
296,24672097,20,bimatoprost product,bimatoprost,,2,,33,2,,,,,,CHEMICAL,,value_change
297,24672097,20,bimatoprost product,bimatoprost,False,3,0.0,61,3,,,,,,CHEMICAL,0.0,value_change
298,24672097,21,,,False,,,,,,,,,,,,
299,24672097,22,bimatoprost product,bimatoprost,,1,,11,1,,,,,,CHEMICAL,,value_change
300,24672097,22,timolol product,timolol,,2,,32,2,,,,,,CHEMICAL,,value_change
301,24672097,22,bimatoprost product,bimatoprost,False,3,0.0,43,3,,,,,,CHEMICAL,0.0,value_change
302,24672097,23,bimatoprost product,bimatoprost,,1,,0,1,,,,,,CHEMICAL,,value_change
303,24672097,23,timolol product,timolol,False,2,0.0,21,2,,,,,,CHEMICAL,0.0,value_change
304,24672097,24,timolol product,timolol,,1,,8,1,,,,,,CHEMICAL,,value_change
305,24672097,24,bimatoprost product,bimatoprost,False,2,0.0,19,2,,,,,,CHEMICAL,0.0,value_change
306,24672097,25,bimatoprost product,bimatoprost,False,1,0.0,5,1,,,,,,CHEMICAL,0,value_change
307,24672097,26,,,False,,,,,,,,,,,,
308,16458964,0,,,False,,,,,,,,,,,,
309,16458964,1,,,False,,,,,,,,,,,,
310,16458964,3,latanoprost product,latanoprost,,1,,2,1,,,,,,CHEMICAL,,value_change
311,16458964,3,latanoprost product,latanoprost,,2,,12,2,,,,,,CHEMICAL,,value_change
312,16458964,3,timolol product,timolol,,3,,19,3,,,,,,CHEMICAL,,value_change
313,16458964,3,timolol product,timolol,False,4,0.0,30,4,,,,,,CHEMICAL,0.0,value_change
314,16458964,4,,,False,,,,,,,,,,,,
315,16458964,5,,,False,,,,,,,,,,,,
316,16458964,6,latanoprost product,latanoprost,,1,,14,1,,,,,,CHEMICAL,,value_change
317,16458964,6,latanoprost product,latanoprost,,2,,25,2,,,,,,CHEMICAL,,value_change
318,16458964,6,timolol product,timolol,,3,,32,3,,,,,,CHEMICAL,,value_change
319,16458964,6,unspecified glaucoma,glaucoma,,4,,37,4,,,,,,DISEASE,,value_change
320,16458964,6,oht - ocular hypertension,ocular hypertension,,5,,43,5,,,,,,DISEASE,,value_change
321,16458964,6,unspecified glaucoma,glaucoma,,6,,55,6,,,,,,DISEASE,,value_change
322,16458964,6,timolol product,timolol,False,7,0.0,62,7,,,,,,CHEMICAL,0.0,value_change
323,16458964,7,,,False,,,,,,,,,,,,
324,16458964,8,unspecified glaucoma,glaucoma,,1,,2,1,,,,,,DISEASE,,value_change
